Disease 	Genetic defect	Inheritance	GOF/DN	OMIM	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	Associated features	Major category	Subcategory	ICD9	ICD10	HPO (table)	HPO (subtable)	HPO	HPO
Factor H deficiency	CFH	AD		134370	Normal 	Normal	Normal	Normal		"Infections, disseminated neisserial infections, atypical Hemolytic-uremic syndrome, preeclampsia, dense deposit disease"	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0005381		
Factor H –related protein deficiencies	CFHR1 CFHR2. CFHR3 CFHR4 CFHR5	AR		"134371, 600889, 605336, 605337, 608593"	Normal 	Normal	Normal	Normal		"Older onset atypical hemolytic-uremic syndrome, disseminated neisserial infections"	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0005575		
Factor H –related protein deficiencies	CFHR1 CFHR2. CFHR3 CFHR4 CFHR5	AD		"134371, 600889, 605336, 605337, 608593"	Normal 	Normal	Normal	Normal		"Older onset atypical hemolytic-uremic syndrome, disseminated neisserial infections"	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0005575		
Factor I deficiency	CFI	AD		217030	Normal 	Normal	Normal	Normal		"Atypical Hemolytic-uremic syndrome, preeclampsia"	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002718		
Factor I deficiency	CFI	AR		217030	Normal 	Normal	Normal	Normal		"Infections (necapsulated bacteria), disseminated neisserial infections, CNS inflammatioon, vasculitis"	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002718		
Properdin deficiency	CFP	XL		300383	Normal 	Normal	Normal	Normal		Neisserial infections	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002718		
Cystic fibrosis	CFTR	AR		602421				Normal	Macrophage dysfunction	"Respiratory infections, pancreatic insufficiency, elevated sweat chloride"	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	288.2	D71	HP:0002715	HP:0002783		
CHARGE syndrome due to CHD7 deficiency	CHD7 	AD		608892	"Decreased or normal, response to PHA may be decreased"	Normal	Normal or decreased	Normal		"Coloboma, heart anomaly, choanal atresia, intellectual disability, genital and ear anomalies, CNS malformation, some are SCID-like and have low TRECs"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 3 Thymic Defects with Additional Congenital Anomalies	279.2	D81.9	HP:0002715	HP:0005403	HP:0012759	
CHUK deficiency	CHUK	AR			"Normal T, NK cell numbers.  Accumulation of immature NK cells"	B cell lymphopenia	Pan-hypogammaglobulinemia			"Combined immunodeficiency, recurrent infections (Staphylococcus aureus, mucocutaneous candidiasis, epidermodysplasia verruciformis due to HPV).
Absent secondary lymphoid tissues, lymphocytic infiltration of intestine and liver. Skeletal abnormalities, failure to thrive.Normal T cell proliferation, reduced NK function"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
CIB1 deficiency	CIB1	AR		618267					Keratinocytes	HPV (group B1) infections and cancer of the skin (typical EV)	Table 6 Defects in intrinsic and innate immunity	Subtable 2 Epidermodysplasia verruciformis (HPV)	279.9	D89.9	HP:0002715	HP:0020114		
MHC class II deficiency group A 	CIITA  	AR		600005	"Low CD4 cells
Absent MHC II expression on lymphocytes


"	Normal	Normal to low			"Respiratory and gastrointestinal infections, liver/biliary tract disease"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.7	HP:0002715	HP:0005403		
CLCN7 deficiency associated osteopetrosis	CLCN7	AR		602727					Osteoclasts	"Osteopetrosis with hypocalcemia, neurologic features"	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	279.9	D89.9	HP:0002715	HP:0011002		
CLCN7 deficiency associated osteopetrosis	CLCN7	AD		602727					Osteoclasts	"Osteopetrosis with hypocalcemia, neurologic features"	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	279.9	D89.9	HP:0002715	HP:0011002		
3-Methylglutaconic aciduria	CLPB	 AR		616254				Low		"Neurocognitive developmental aberrations, microcephaly, hypoglycemia, hypotonia, ataxia, seizures, cataracts, IUGR"	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252		
3-Methylglutaconic aciduria	CLPB	 AD		616254				Low		"Neurocognitive developmental aberrations, microcephaly, hypoglycemia, hypotonia, ataxia, seizures, cataracts, IUGR"	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252		
COPA defect	COPA	AD		6011924					PMN and tissue specific cells	Autoimmune inflammatory arthritis and interstitial lung disease with Th17 dysregulation and autoantibody production	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0006530	HP:0001369	
COPG1 deficiency	COPG1	AR			"T cell lymphopenia, mostly CD4"	normal slightly reduced	"near-normal levels of serum IgM, G, A
• poor/absent Ig responses to vaccines "			"recurrent pneumonia, viral respiratory infections, bronchiectasis, chronic EBV, CMV viremia.  Failure to thrive
impaired T and B cell function in vitro "	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
Coronin-1A deficiency	CORO1A 	AR		605000	Very low	Normal	Low	Normal		"Detectable thymus, EBV"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 1 T-B+ SCID	279.2	D81.2	HP:0002715	HP:0005403		
CRACR2A deficiency	CRACR2A	AR			Mild CD4 T cell lymphopenia (low naïve CD4 T). Normal NK cell numbers	"Normal B cell numbers, low switched memory B cells "	"Panhypogamma (IgG, undetectable; IgM, IgA low).  intact B cell function in vitro "			"Later onset chronic diarrhea, recurrent lower respiratory tract infections, including pneumonia. Poor T cell activation/proliferation in vitro"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 8 Calcium Channel Defects	279.2	D81.9	HP:0002715	 HP:0003198		
Congenital pulmonary alveolar proteinosis due to CSF2RA mutations	CSF2RA 	XL		300770	Normal 	Normal	Normal	Normal	Alveolar macrophages	Alveolar proteinosis	Table 5 Congenital defects of phagocyte number or function	Subtable 4 Other Non-Lymphoid Defects	289.89	D72.818	HP:0002715	HP:0012312		
Congenital pulmonary alveolar proteinosis due to CSF2RB mutations	CSF2RB	AR		614370	Normal 	Normal	Normal	Normal	Alveolar macrophages	Alveolar proteinosis	Table 5 Congenital defects of phagocyte number or function	Subtable 4 Other Non-Lymphoid Defects	289.89	D72.818	HP:0002715	HP:0012312		
G-CSF receptor deficiency	CSF3R	 AR		138971				Low			Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252		
Coats plus syndrome due to CTC1 deficiency	CTC1	AR		613129	Normal	Normal				"Intrauterine growth retardation, sparse graying hair, dystrophic nails, trilinear bone marrow failure, osteopenia, gastrointestinal hemorrhage due to vascular ectasia, retinal telangiectasia, intracranial calcification, abnormal telomeres"	Table 9 Bone marrow failure		279.2	D82.8	HP:0002721	HP:0005528	HP:0001511	
CTLA4 deficiency (ALPSV)	CTLA4	AD		123890	Decreased	Decreased	Variable	Normal		"Autoimmune cytopenias, enteropathy, interstitial lung disease, extra-lymphoid lymphocytic infiltration recurrent infections "	Table 4 Diseases of Immune Dysregulation	Subtable 3 Regulatory T Cell Defects	279.9	D81.8	HP:0002715	HP:0002960		
CTNNBL1 deficiency	CTNNBL1	AR			"Low, poor proliferation"	Normal with low memory cells	"Progressive hypogammaglobulinemia, impaired CSR, SHM"			Hyperplastic GC	Table 3 Predominantly Antibody Deficiencies	"Subtable 3 Severe Reduction in Serum IgG and IgA with Normal/Elevated IgM and Normal Numbers of B cells, Hyper IgM"	279.05	D80.5	HP:0002715	HP:0004313		
CTPS1 deficiency	CTPS1	AR		615897	"Nl to low, poor proliferation to antigen"	Nl/low 		Normal		"Recurrent/chronic bacterial and viral infections (EBV, VZV), EBV lymphoproliferation, B-cell non-Hodgkin lymphoma"	Table 4 Diseases of Immune Dysregulation	Subtable 7 Susceptibility to EBV and Lymphoproliferative Conditions	238.79	D82.3	HP:0002715	HP:0020072		
Papillon-Lefèvre Syndrome	CTSC	AR		602365				Normal		"Periodontitis, palmoplantar hyperkeratosis in some patients"	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	288.2	D71	HP:0002715	HP:0000704		
CXCR2 deficiency	CXCR2	AR			"Normal numbers of CD4+ T cells, variable CD8+ T cells, NK cells normal"	Normal	"High serum IgG, IgA, IgM"	Severe neutropenia		"Myelokathexis (3/6 pts), recurrent gingivitis, oral ulcers, hypergammaglobulinemia"	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252		
"WHIM (Warts, Hypogammaglobulinemia, infections, Myelokathexis)  syndrome"	CXCR4	AD 	GOF	162643	Variable	Variable	Variable	Variable	Granulocytes + Lymphocytes	"Warts (HPV) infection, neutropenia, low B cell number, hypogammaglobulinemia"	Table 6 Defects in intrinsic and innate immunity	Subtable 2 Epidermodysplasia verruciformis (HPV)	279.9	D89.9	HP:0002715	HP:0020114		
Autosomal recessive CGD p22phox	CYBA	 AR		608508			Normal	Normal	Neutrophil dysfunction	"Infections, autoinflammatory phenotype"	Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst	288.2	D71	HP:0002715	HP:0002718	HP:0002841	
"X-linked chronic granulomatous disease (CGD), gp91phox"	CYBB	 XL		300481			Normal	Normal	Neutrophil dysfunction	"Infections, autoinflammatory phenotype, IBD, McLeod phenotype in patients with deletions extending into the contiguous Kell locus"	Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst	288.2	D71	HP:0002715	HP:0002718	HP:0002841	
Macrophage gp91 phox deficiency	CYBB	XL		300481	Normal 	Normal	Normal	Normal	Macrophage dysfunction	Isolated susceptibility to mycobacteria	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	288.2	D72	HP:0002715	HP:0011274		
Autosomal recessive CGD EROS	CYBC1	AR		618334			Normal	Normal	Neutrophil dysfunction		Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst			HP:0002715	HP:0002718	HP:0002841	
DBF4 deficiency	DBF4	AR						Low		Developmental delay	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252		
DBR1 deficiency	DBR1	AR			Normal 	Normal	Normal	Normal	CNS resident cells and fibroblasts	HSE of the brainstem. Other viral infections of the brainstem.	Table 6 Defects in intrinsic and innate immunity	Subtable 4 Herpes Simplex Encephalitis (HSE)	279.9	D89.9	HP:0002715	 HP:0012302		
DKC DCLRE1B	DCLRE1B	AR			Low naïve CD4	Low		Normal to low	B and NK lymphopenia	"Early-onset hypocellular bone marrow failure,  developmental anomalies, microcephaly, and/or intrauterine growth retardation"	Table 9 Bone marrow failure	Subtable 1 Bone marrow failure	238.72	D61.89	HP:0002721	HP:0005528		
DCLRE1C (Artemis) deficiency	DCLRE1C	AR		605988	Very low	Very low	Low	Normal		Radiation sensitive	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	279.2	D81.1	HP:0002715	HP:0005403		
DEF6 deficiency	DEF6	AR 		610094	Mild decrease	Low to normal	Normal	Normal	Impaired Treg function	"Enteropathy, hepatosplenomegaly, cardiomyopathy, recurrent infections"	Table 4 Diseases of Immune Dysregulation	Subtable 3 Regulatory T Cell Defects	279.9	D81.8	HP:0002715	HP:0002960		
Chromosome 10p13-p14 deletion Syndrome (10p13-p14DS) 	Del10p13-p14	AD		601362	"Normal, rarely lymphopenia and decreased lymphoproliferation to mitogens and antigens, hypolastic thymus may be present"	Normal	Normal	Normal		"Hypoparathyroidism, renal disease, deafness, growth retardation, facial dysmorphism, cardiac defects may be present, recurrent infections +/-"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 3 Thymic Defects with Additional Congenital Anomalies	279.2	D81.9	HP:0002715	HP:0005403		
DIAPH1 deficiency	DIAPH1	AR			"Decreased naive T cells, RTEs"	"hi naïve/transitional, low memory "	"Low IgM, normal IgG, variable IgA.
Near normal vaccine resp"			"seizures, cortical blindness, microcephaly syndrome (SCBMS).
Recurrent bacterial, viral, fungal infections, B-lymphoma.  Decreased T cell activation/proliferation in vitro,  impaired adhesion/MTOC repositioning to immune synapse, defective cytoskeletal organization and mitochondrial dysfunction in SCBMS pathogenesis"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0031842		
DKCX1	DKC1	XL		305000	normal to low	Normal to low			Hematopoietic stem cell	"Bone marrow failure, pulmonary and hepatic fibrosis, nail dystrophy, leukoplakia, reticulate skin pigmentation; microcephaly, neurodevelopmental delay"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528	HP:0002745	
Schwachman Diamond syndrome due to DNAJC21 deficiency	DNAJC21	AR		617048				Low		"Metaphyseal changes, short stature, developmental delay, pancreatic dysfunction, bone marrow failure"	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.2	D71	HP:0002715	HP:0410252		
DNASE1L3 deficiency	DNASE1L3	AR		602244						"Systemic lupus erythematosus, lupus nephritis, hypocomplementemic urticarial vasculitis"	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D81.8	HP:0002721	HP:0002514	HP:0002633	
DNASE2 deficiency	DNASE2	AR		126350						"Glomerulonephritis, arthropathy, vasculitis"	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514	HP:0002633	
"Immunodeficiency with centromeric instability and facial anomalies, ICF1"	DNMT3B	AR		602900	"Decreased or normal, responses to PHA may be decreased"	Decreased or normal	"Variably low IgG, IgA"			"Facial dysmorphic features, developmental delay, macroglossia, bacterial/opportunistic infections, malabsorption, cytopenias, malignancies,  multiradial configurations of chromosomes 1, 9, 16"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	279.2	D81.9	HP:0002715	HP:0005403		
DOCK11 deficiency	DOCK11	XL		301109	Normal	Low class switched B cells				"Early onset autoimmunity, IBD common"	Table 4 Diseases of Immune Dysregulation	Subtable 5 Immune Dysregulation with Colitis	279.9	D82.8	HP:0002715	HP:0004386		
DOCK2 deficiency	DOCK2 	AR		603122	Low	Normal	Low	Normal		"Nl NK cells, but defective function. Poor interferon responses in hematopoietic and non-hematopoietic cells"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
DOCK8 deficiency 	DOCK8 	AR		243700	"Low, poor proliferation, few, poorly functioning Treg "	"Low, low CD27+ memory B cells Poor peripheral B cell tolerance."	"Low IgM, normal to high IgG and IgA, high IgE"		Low NK	"Low NK cells with poor function, eosinophilia, recurrent infections, cutaneous viral, fungal and staphylococcal infections, severe atopy, cancer diathesis"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
DPP9 deficiency	DPP9	AR		620331					"NLRP1 activation, pancytopenia, "	"Abnormal skin pigment, short stature, recurrent infections"	Table 4 Diseases of Immune Dysregulation	Subtable 1 Familial Hemophagocytic Lymphohistiocytosis (FHL syndromes)	288.4	D76.1	HP:0002715	HP:0012156		
DUT deficiency	DUT	AR								"Bone marrow failure, diabetes"	Table 9 Bone marrow failure	Subtable 1 Bone marrow failure	238.72	D61.89	HP:0002721	HP:0005528		
Schwachman Diamond syndrome due to EFL1 deficiency	EFL1	AR		617941				Low		"Metaphyseal changes, short stature, developmental delay, pancreatic dysfunction, bone marrow failure"	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.2	D71	HP:0002715	HP:0410252		
Elastase deficiency (SCN1)	ELANE	 AD		130130				Low		"Susceptibility to MDS/leukemia, Severe congenital neutropenia or cyclic neutropenia"	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252		
ELF deficiency	ELF4	XL			Normal	Normal	"Normal levels of serum IgM, G, A  but reduced responses to live viral vaccines "			"Early onset mucosal autoinflammation/ IBD, fevers and ulcers.  Responded to IL-1, TNF or IL-12p40 blockade.
Hyper inflammatory macrophages"	Table 4 Diseases of Immune Dysregulation	Subtable 5 Immune Dysregulation with Colitis	279.9	D82.8	HP:0002715	HP:0004386		
Vici syndrome due to EPG5 deficiency	EPG5 	AR		 615068	Profound depletion of CD4+ cells	Defective				"Agenesis of the corpus callosum, cataracts, cardiomyopathy, skin hypopigmentation,  intellectual disability, microcephaly, recurrent infections, chronic mucocutaneous candidiasis"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0000518		
ERBIN deficiency	ERBIN	AD		606944	Increased Treg	Normal	Normal to increased IgE	Normal		"Recurrent respiratory infections, susceptibility to S. aureus, eczema, hyperextensible joints, scoliosis, arterial dilatation in some"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 5 Hyper IgE Syndromes (HIES)	279.2	D82.4	HP:0002715	HP:0001051		
Fanconi Anemia Type Q	ERCC4	AR		615272	normal to low	Normal to low			Hematopoietic stem cell	"Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
BMFS2 (Hebo deficiency)	ERCC6L2	AR		615667					Hematopoietic stem cell	"Bone marrow failure, learning difficulties, microcephaly, facial dysmorphism"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Defects	238.72	D61.89	HP:0002721	HP:0005528		
IRE1a deficiency	ERN1	AD			Normal	Normal				"Systemic autoimmunity, pleomorphic autoimmunity with autoantibodies"	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation	279.9	D81.8	HP:0002715	HP:0002960		
Immunoskeletal dysplasia with neurodevelopmental abnormalities (EXTL3 Deficiency)	EXTL3	AR		617425	Reduced	Normal	Decreased to normal			"Platyspondyly, kyphosis, variable skeletal dysplasias, developmental delay"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 4 Immuno-osseous Dysplasias	279.2	D81.9	HP:0002715	HP:0005403		
FAAP24 deficiency	FAAP24	AR		610884	Increased activated T cells	Normal 				EBV infection-driven lymphoproliferative disease	Table 4 Diseases of Immune Dysregulation	 Subtable 1 Familial Hemophagocytic Lymphohistiocytosis (FHL syndromes)	288.4	D76.1	HP:0002715	HP:0012156		
FADD deficiency	FADD 	AR		602457	Increased DN T cells	Normal				"Functional hyposplenism, bacterial and viral infections, recurrent episodes of encephalopathy and liver dysfunction"	Table 4 Diseases of Immune Dysregulation	"Subtable 6 Autoimmune Lymphoproliferative Syndrome (ALPS, Canale Smith syndrome)"	279.9	D89.82	HP:0002715	HP:0002960	HP:0002716	HP:0001433
Fanconi Anemia Type A	FANCA	AR		227650	normal to low	Normal to low			Hematopoietic stem cell	"Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
Fanconi Anemia Type B	FANCB	XL		300514	normal to low	Normal to low			Hematopoietic stem cell	"Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
Fanconi Anemia Type C	FANCC	AR		227645	normal to low	Normal to low			Hematopoietic stem cell	"Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
Fanconi Anemia Type D2	FANCD2	AR		227646	normal to low	Normal to low			Hematopoietic stem cell	"Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
Fanconi Anemia Type E	FANCE	AR		600901	normal to low	Normal to low			Hematopoietic stem cell	"Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
Fanconi Anemia Type F	FANCF	AR		603467	normal to low	Normal to low			Hematopoietic stem cell	"Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
Fanconi Anemia Type I	FANCI	AR		609053	normal to low	Normal to low			Hematopoietic stem cell	"Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
Fanconi Anemia Type L	FANCL	AR		614083	normal to low	Normal to low			Hematopoietic stem cell	"Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
Fanconi Anemia Type M	FANCM	AR		618096	normal to low	Normal to low			Hematopoietic stem cell	"Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
Hennekam-lymphangiectasia-lymphedema syndrome due to FAT4 deficiency	FAT4	AR		·       612411	Low/variable	Low/variable				Lymphangiectasia and lymphedema with facial abnormalities and other dysmorphic features	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0031842		
CD16 deficiency	FCGR3A	AR		146740	Normal 	Normal	Normal	Normal	NK cell dysfunction	"severe herpes viral infections, particularly VZV, Epstein Barr virus (EBV), and (HPV)"	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	279.9	D89.9	HP:0002715	HP:0031691		
FCHO1 deficiency	FCHO1	AR		613437	Low	Normal	Normal			"Recurrent infections, lymphoproliferation, increased activation-induced T-cell death, defective clathrin-mediated endocytosis"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
Ficolin 3 deficiency	FCN3	AR		604973	Normal 	Normal	Normal	Normal		"Respiratory infections, abscesses"	Table 8 Complement Deficiencies		279.8	D84.1	HP:0002721	HP:0002718		
FERMT1 deficiency (Kindler syndrome)	FERMT1	AR		173650	Normal 	Normal 			Skin	"Dermatosis characterized by congenital blistering, skin atrophy, photosensitivity, skin fragility, and scaling"	Table 4 Diseases of Immune Dysregulation	Subtable 3 Regulatory T Cell Defects	279.9	D81.8	HP:0002715	HP:0002960		
Leukocyte adhesion deficiency type 3 (LAD3)	FERMT3	AR 		607901				High		LAD type 1 plus bleeding tendency	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	288.2	D71	HP:0002715	HP:0410258		
FLT3L deficiency	FLT3LG	AR			Normal	Decreased	Increased		"Hypoplastic anaemia, monocytopenia, DC-penia, low/absence of dermal DCs. "	"Viral infections, diarrhea"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Defects	279.2	D81.9	HP:0002715	HP:0011100		
FNIP1 deficiency	FNIP1	AR			Increased T cells	Low B cells	Very low	Variable neutropenia		"Early onset recurrent infections: sinopulmonary, bronchiectasis. Congenital heart defects (eg hypertrophic cardiomyopathy). 
Crohn disease (one patient, developmental delay.  "	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	279.04	D80.0	HP:0002715	HP:0004432		
FOXI3 Haploinsufficiency	FOXI3	AD	NA		CD4 and CD8 T cell lymphopenia	Slightly decreased	Normal	Normal		"Macrocephaly, thymic hypoplasia"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
Winged helix FOXN1 deficiency (Nude SCID)	FOXN1	AR		600838	Very low	Normal	Low	Normal		"Severe infections,  abnormal thymic epithelium, immunodeficiency, congenital alopecia, nail dystrophy,  neural tube defect"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 3 Thymic Defects with Additional Congenital Anomalies	279.2	D81.9	HP:0002715	HP:0005403		
FOXN1 Haplosufficiency	FOXN1	AD			"Severe T cell lymphopenia at birth, nomrmalised by adulthood"	Normal or low		Normal		"Recurrent, viral and bacterial respiratory tract infections; skin involvement (eczema, dermatitis), nail dystropyhy"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 3 Thymic Defects with Additional Congenital Anomalies	279.2	D81.9	HP:0002715	HP:0005403		
"IPEX, immune dysregulation, polyendocrinopathy, enteropathy X-linked"	FOXP3	XL		300292	Normal	Normal	High IgE and IgA			"Autoimmune enteropathy, early onset diabetes, hyroiditis hemolytic anemia, thrombocytopenia, eczema"	Table 4 Diseases of Immune Dysregulation	Subtable 3 Regulatory T Cell Defects	279.9	D82.9	HP:0002715	HP:0002960		
Localized juvenile periodontitis	FPR1	AR		136537				Normal		Periodontitis only	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	288.2	D71	HP:0002715	HP:0000704		
G6PC3 deficiency (SCN4)	G6PC3	 AR		611045				Low		"Structural heart defects, urogenital abnormalities, inner ear deafness, and venous angiectasias of trunks and limbs"	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252		
G6PD deficiency Class I	G6PD	XL		305900			Normal	Normal	Neutrophil dysfunction	Infections	Table 5 Congenital defects of phagocyte number or function	Subtable 3 Defects of Respiratory Burst	288.2	D71	HP:0002715	HP:0002718	HP:0002841	
Glycogen storage disease type 1b	G6PT1	 AR		602671				Low	Monocytes	"Fasting hypoglycemia, lactic acidosis, hyperlipidemia, hepatomegaly"	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252		
GATA2 deficiency (MonoMac syndrome)	GATA2	AD		137295		Declining	Normal	Normal	"Low monocytes, DC, NK"	"Susceptibility to mycobacteria, HPV, histoplasmosis, alveolar proteinosis, MDS/AML/CMMoL, lymphedema"	Table 5 Congenital defects of phagocyte number or function	Subtable 4 Other Non-Lymphoid Defects	289.89	D72.818	HP:0002715	HP:0012312	HP:0006517	
GFI 1 deficiency (SCN2)	GFI1	 AD		600871				Low		B/T lymphopenia	Table 5 Congenital defects of phagocyte number or function	Subtable 1 Congenital Neutropenias	288.01	D70.0	HP:0002715	HP:0410252		
