LOC128237006	uncharacterized LOC128237006
LOC128232576	SCY1-like protein 2
LOC128231978	uncharacterized protein KIAA0930 homolog
LOC128232840	uncharacterized LOC128232840
LOC128232818	SAM pointed domain-containing Ets transcription factor-like
LOC128231748	uncharacterized LOC128231748
LOC128231747	meiosis 1 arrest protein-like
LOC128231746	RNA cytidine acetyltransferase-like
LOC128232577	insulin-like growth factor-binding protein complex acid labile subunit
LOC128232791	uncharacterized LOC128232791
LOC128232089	uncharacterized transporter slc-17.2-like
LOC128232090	uncharacterized transporter slc-17.2-like
LOC128230151	uncharacterized LOC128230151
LOC128230126	uncharacterized transporter slc-17.2-like
LOC128230424	uncharacterized LOC128230424
LOC128230916	aquaporin-10-like
LOC128230917	gamma-aminobutyric acid type B receptor subunit 2-like
LOC128230918	uncharacterized LOC128230918
LOC128230193	uncharacterized LOC128230193
LOC128230919	uncharacterized LOC128230919
LOC128232808	dermatopontin-like
LOC128232274	uncharacterized LOC128232274
LOC128233043	uncharacterized LOC128233043
LOC128232806	uncharacterized LOC128232806
LOC128231413	carboxy-terminal kinesin 2-like
LOC128231415	uncharacterized LOC128231415
LOC128231417	uncharacterized LOC128231417
LOC128231416	U3 small nucleolar RNA-associated protein 18 homolog
LOC128231414	protein SPT2 homolog
LOC128231420	uncharacterized LOC128231420
LOC128230920	uncharacterized LOC128230920
LOC128231419	uncharacterized LOC128231419
LOC128231418	uncharacterized LOC128231418
LOC128231755	probable ATP-dependent RNA helicase DHX37
LOC128231756	vacuolar protein sorting-associated protein 53 homolog
LOC128230192	membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase-like
LOC128229829	microfibrillar-associated protein 1-like
LOC128230495	secreted frizzled-related protein 1-like
LOC128230491	cleavage and polyadenylation specificity factor subunit 6-like
LOC128233116	small nucleolar RNA SNORA76
LOC128230505	archaemetzincin-2-like
LOC128230921	uncharacterized LOC128230921
LOC128230484	titin homolog
LOC128230490	glycogen [starch] synthase-like
LOC128230492	jmjC domain-containing protein D-like
LOC128230499	metal cation symporter ZIP14-like
LOC128230512	uncharacterized LOC128230512
LOC128230511	uncharacterized LOC128230511
LOC128230498	uncharacterized LOC128230498
LOC128230508	uncharacterized LOC128230508
LOC128230487	uncharacterized LOC128230487
LOC128230497	coiled-coil domain-containing protein 91-like
LOC128230501	carbohydrate sulfotransferase 10-like
LOC128230503	carbohydrate sulfotransferase 10-like
LOC128230504	carbohydrate sulfotransferase 10-like
LOC128230506	tetraspanin-7-like
LOC128230922	uncharacterized LOC128230922
LOC128230507	protein Hikeshi-like
LOC128230510	cell cycle checkpoint protein RAD1-like
LOC128230509	uncharacterized LOC128230509
LOC128230485	probable ATP-dependent RNA helicase DHX37
LOC128230489	vacuolar protein sorting-associated protein 53 homolog
LOC128230493	membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase-like
LOC128230500	microfibrillar-associated protein 1-like
LOC128230494	secreted frizzled-related protein 1-like
LOC128230527	cleavage and polyadenylation specificity factor subunit 6-like
LOC128231841	kinesin-like protein KIF6
LOC128231620	testis-expressed protein 52-like
LOC128231617	axoneme-associated protein mst101(2)-like
LOC128229869	glycogen [starch] synthase-like
LOC128229870	jmjC domain-containing protein D-like
LOC128229871	metal cation symporter ZIP14-like
LOC128230313	uncharacterized LOC128230313
LOC128232558	uncharacterized LOC128232558
LOC128232559	uncharacterized LOC128232559
LOC128230923	uncharacterized LOC128230923
LOC128230209	coiled-coil domain-containing protein 91-like
LOC128230431	carbohydrate sulfotransferase 10-like
LOC128232798	carbohydrate sulfotransferase 10-like
LOC128232830	uncharacterized LOC128232830
LOC128230924	carbohydrate sulfotransferase 10-like
LOC128230925	carbohydrate sulfotransferase 10-like
LOC128230274	tetraspanin-7-like
LOC128231449	protein Hikeshi-like
LOC128231448	uncharacterized LOC128231448
LOC128231447	FAD synthase-like
LOC128231635	DNA helicase MCM8-like
LOC128232059	SPRY domain-containing protein 3-like
LOC128230183	protein LLP-like
LOC128232119	uncharacterized LOC128232119
LOC128230150	protein YIPF3-like
LOC128230556	rhombotin-1-like
LOC128230926	zinc finger MYM-type protein 1-like
LOC128232522	TRPL translocation defect protein 14-like
LOC128232149	nucleolar protein 8-like
LOC128230014	cysteine and glycine-rich protein 1-like
LOC128232238	aquaporin-3-like
LOC128230927	uncharacterized LOC128230927
LOC128231203	von Willebrand factor D and EGF domain-containing protein-like
LOC128231206	platelet endothelial aggregation receptor 1-like
LOC128231204	von Willebrand factor D and EGF domain-containing protein-like
LOC128231205	von Willebrand factor D and EGF domain-containing protein-like
LOC128230928	von Willebrand factor D and EGF domain-containing protein-like
LOC128231929	multiple epidermal growth factor-like domains protein 10
LOC128232166	cell cycle checkpoint protein RAD1-like
LOC128231832	synergin gamma-like
LOC128231280	phosphatidylinositol 4-kinase alpha-like
LOC128232278	alpha-ketoglutarate-dependent dioxygenase alkB homolog 4-like
LOC128230929	piggyBac transposable element-derived protein 4-like
LOC128230591	piggyBac transposable element-derived protein 4-like
LOC128230590	zinc finger protein 37 homolog
LOC128233011	dnaJ homolog subfamily A member 3%2C mitochondrial-like
LOC128233010	uncharacterized LOC128233010
LOC128230330	muscle M-line assembly protein unc-89-like
LOC128231433	serine/threonine-protein kinase ULK2-like
LOC128231462	A-kinase anchor protein 1%2C mitochondrial-like
LOC128233166	small nucleolar RNA SNORD79
LOC128233165	small nucleolar RNA SNORD79
LOC128233169	small nucleolar RNA SNORD79
LOC128233168	small nucleolar RNA SNORD79
LOC128233163	small nucleolar RNA SNORD79
LOC128232228	post-GPI attachment to proteins factor 4-like
LOC128230218	uncharacterized LOC128230218
LOC128230217	uncharacterized LOC128230217
LOC128229922	uncharacterized LOC128229922
LOC128229921	transcription elongation factor SPT5-like
LOC128229919	zinc finger CCCH domain-containing protein 4-like
LOC128230295	F-box only protein 30-like
LOC128230296	COMM domain-containing protein 9-like
LOC128230297	uncharacterized LOC128230297
LOC128231487	uncharacterized LOC128231487
LOC128231144	phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta-like
LOC128231129	protein cycle-like
LOC128231130	uncharacterized LOC128231130
LOC128230930	uncharacterized LOC128230930
LOC128231510	RING finger protein 141-like
LOC128231511	acyl-CoA synthetase short-chain family member 3%2C mitochondrial-like
LOC128232965	uncharacterized LOC128232965
LOC128231249	inactive hydroxysteroid dehydrogenase-like protein 1
LOC128231250	uncharacterized LOC128231250
LOC128232206	uncharacterized LOC128232206
LOC128230931	serine-rich adhesin for platelets-like
LOC128232694	leucine-rich repeat-containing protein 47-like
LOC128231857	uncharacterized LOC128231857
LOC128232719	uncharacterized LOC128232719
LOC128232155	retinol dehydrogenase 7-like
LOC128232284	lysozyme 1-like
LOC128233048	uncharacterized LOC128233048
LOC128233040	equilibrative nucleobase transporter 1-like
LOC128230516	Na(+)/citrate cotransporter-like
LOC128232898	elongin-B-like
LOC128232820	NFATC2-interacting protein-like
LOC128230932	uncharacterized LOC128230932
LOC128230933	chondroitin proteoglycan-2-like
LOC128231645	uncharacterized LOC128231645
Trnad-guc	transfer RNA aspartic acid (anticodon GUC)
LOC128232148	transmembrane protein 47-like
LOC128232146	DNA repair protein XRCC1-like
LOC128232147	translation initiation factor eIF-2B subunit alpha-like
LOC128230934	G-protein coupled receptor 183-A-like
LOC128232515	uncharacterized LOC128232515
LOC128230181	uncharacterized LOC128230181
LOC128230280	probable serine racemase
LOC128232186	endoprotease aex-5-like
LOC128230935	putative nuclease HARBI1
LOC128229709	uncharacterized LOC128229709
LOC128231980	uncharacterized LOC128231980
LOC128230157	heat shock protein beta-6-like
LOC128232369	tetraspanin-4-like
LOC128231869	uncharacterized LOC128231869
LOC128231951	caspase-7-like
LOC128231952	U1 small nuclear ribonucleoprotein C-like
LOC128231950	phosphatidylserine synthase 2-like
LOC128231949	solute carrier family 45 member 3-like
LOC128231942	uncharacterized LOC128231942
LOC128231944	1-phosphatidylinositol 4%2C5-bisphosphate phosphodiesterase eta-2-like
LOC128231943	N-acetylglucosamine-1-phosphotransferase subunits alpha/beta-like
LOC128231947	sodium/glucose cotransporter 4-like
LOC128231948	proline dehydrogenase 1%2C mitochondrial-like
LOC128231946	THO complex subunit 5 homolog
LOC128231945	septin-5-like
LOC128229980	dynein light chain Tctex-type 5-like
LOC128231172	mitochondrial import inner membrane translocase subunit Tim10-like
LOC128231173	uncharacterized LOC128231173
LOC128231169	ADP-ribose pyrophosphatase%2C mitochondrial-like
LOC128231170	uncharacterized LOC128231170
LOC128232287	uncharacterized LOC128232287
LOC128232285	glycosyltransferase 1 domain-containing protein 1-like
LOC128230936	uncharacterized LOC128230936
LOC128230937	uncharacterized LOC128230937
LOC128232663	neuropilin and tolloid-like protein 2
LOC128230938	deleted in malignant brain tumors 1 protein-like
LOC128231961	cubilin-like
LOC128233096	suppressor of tumorigenicity 14 protein-like
LOC128233098	low-density lipoprotein receptor-related protein 12-like
LOC128231337	E3 ubiquitin-protein ligase TRIM56-like
LOC128230557	sodium- and chloride-dependent glycine transporter 1-like
LOC128230939	uncharacterized LOC128230939
LOC128232510	leucine-rich repeat-containing protein 24-like
LOC128232418	serine/threonine-protein kinase BRSK2-like
LOC128231614	caprin-1-like
LOC128231520	uncharacterized LOC128231520
LOC128231519	kinesin-like protein KIF27
LOC128231866	SAP30-binding protein-like
LOC128232825	vacuolar protein sorting-associated protein 18 homolog
LOC128229708	40S ribosomal protein S10-like
LOC128233110	small nucleolar RNA SNORD35
LOC128233111	small nucleolar RNA SNORD35
LOC128233113	small nucleolar RNA SNORD35
LOC128233114	small nucleolar RNA SNORD35
LOC128233068	protein GUCD1-like
LOC128233063	proton-coupled folate transporter-like
LOC128230416	uncharacterized LOC128230416
LOC128230580	uncharacterized LOC128230580
LOC128231581	cytochrome P450 2D27-like
LOC128231580	cytochrome P450 2D27-like
LOC128232673	centromere protein J-like
LOC128230940	uncharacterized LOC128230940
LOC128230942	centromere protein J-like
LOC128232152	uncharacterized LOC128232152
LOC128230943	uncharacterized LOC128230943
LOC128230944	uncharacterized LOC128230944
LOC128230452	uncharacterized LOC128230452
LOC128232953	UPF0764 protein C16orf89 homolog
LOC128230945	nose resistant to fluoxetine protein 6-like
LOC128232276	transforming growth factor-beta receptor-associated protein 1-like
LOC128232277	Na(+)/H(+) exchange regulatory cofactor NHE-RF1-like
LOC128230352	putative ferric-chelate reductase 1
LOC128232396	uncharacterized LOC128232396
LOC128229636	uncharacterized LOC128229636
LOC128230377	uncharacterized LOC128230377
LOC128229810	uncharacterized LOC128229810
LOC128232641	putative uncharacterized protein DDB_G0277255
LOC128232642	uncharacterized LOC128232642
LOC128229649	complement C1q tumor necrosis factor-related protein 3-like
LOC128229827	major egg antigen-like
LOC128232667	uncharacterized LOC128232667
LOC128231434	protein phosphatase inhibitor 2-like
LOC128232353	fatty acyl-CoA reductase 1-like
LOC128230303	MAM and LDL-receptor class A domain-containing protein 2-like
LOC128232333	mucin-5AC-like
LOC128231735	alpha-1%2C6-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase-like
LOC128231736	MAM and LDL-receptor class A domain-containing protein 1-like
LOC128230398	uncharacterized LOC128230398
LOC128230397	MAM and LDL-receptor class A domain-containing protein 1-like
LOC128230399	MAM and LDL-receptor class A domain-containing protein 1-like
LOC128230400	uncharacterized LOC128230400
LOC128232249	ALX homeobox protein 1-like
LOC128230949	uncharacterized LOC128230949
LOC128230598	failed axon connections homolog
LOC128230600	ceramide synthase-like
LOC128230597	SAGA-associated factor 29-like
LOC128230596	G protein-activated inward rectifier potassium channel 4-like
LOC128232932	G protein-activated inward rectifier potassium channel 4-like
LOC128230950	spermatogenesis-associated protein 22-like
LOC128230951	telomerase-binding protein EST1A-like
LOC128231553	alpha-(1%2C3)-fucosyltransferase C-like
LOC128232365	uncharacterized LOC128232365
LOC128231931	uncharacterized LOC128231931
LOC128232221	rab5 GDP/GTP exchange factor-like
LOC128232703	syntaxin
LOC128232704	GTP-binding nuclear protein Ran
LOC128232707	probable 18S rRNA (guanine-N(7))-methyltransferase
LOC128232708	dnaJ homolog subfamily B member 9-like
LOC128231549	protein arginine N-methyltransferase 1-like
LOC128231548	transmembrane 7 superfamily member 3-like
LOC128231270	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1-like
LOC128231272	LIM domain kinase 1-like
LOC128229835	GTP-binding protein 128up
LOC128230525	eukaryotic translation initiation factor 4E transporter-like
LOC128229785	uncharacterized LOC128229785
LOC128229786	uncharacterized LOC128229786
LOC128232630	uncharacterized LOC128232630
LOC128230952	uncharacterized LOC128230952
LOC128231861	patatin-like phospholipase domain-containing protein 2
LOC128232020	zinc finger protein 239-like
LOC128231398	transcriptional activator protein Pur-beta-like
LOC128231695	elongation of very long chain fatty acids protein 4-like
LOC128231696	elongation of very long chain fatty acids protein 4-like
LOC128230953	sperm axonemal maintenance protein CFAP97D1-like
LOC128230009	thyroid transcription factor 1-associated protein 26-like
LOC128230007	endoplasmic reticulum-Golgi intermediate compartment protein 2-like
LOC128230006	condensin-2 complex subunit D3-like
LOC128232165	2-amino-3-ketobutyrate coenzyme A ligase%2C mitochondrial-like
LOC128233018	oxidoreductase HTATIP2-like
LOC128231326	dihydropyrimidinase-like
LOC128233044	microfibril-associated glycoprotein 4-like
LOC128232298	DNA damage-binding protein 1-like
LOC128231676	transcription factor Sox-5-like
LOC128232927	uncharacterized LOC128232927
LOC128231631	uncharacterized LOC128231631
LOC128231632	uncharacterized LOC128231632
LOC128232296	uncharacterized LOC128232296
LOC128232973	protein kinase C and casein kinase substrate in neurons protein 1-like
LOC128232975	uncharacterized LOC128232975
LOC128232971	GDH/6PGL endoplasmic bifunctional protein-like
LOC128232974	isochorismatase domain-containing protein 2-like
LOC128232140	60S ribosomal protein L32-like
LOC128232799	uncharacterized LOC128232799
LOC128231342	leucine-rich repeat protein soc-2 homolog
LOC128230617	ADP-ribosylation factor 6
LOC128230618	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7-like
LOC128233002	lipase maturation factor 2-like
LOC128233000	malignant fibrous histiocytoma-amplified sequence 1 homolog
LOC128233003	general transcription factor IIH subunit 1-like
LOC128233004	uncharacterized LOC128233004
LOC128229652	uncharacterized LOC128229652
LOC128231467	uncharacterized LOC128231467
LOC128231466	uncharacterized LOC128231466
LOC128231555	uncharacterized LOC128231555
LOC128231554	eukaryotic translation initiation factor 4 gamma 2-like
LOC128231379	dynamin-binding protein-like
LOC128231497	bridge-like lipid transfer protein family member 3B
LOC128229712	uncharacterized LOC128229712
LOC128229937	ADP-ribosylation factor-like protein 1
LOC128231847	ubiquitin-conjugating enzyme E2 T-like
LOC128229726	carbonic anhydrase 2-like
LOC128232921	exocyst complex component 5-like
Trnal-uaa	transfer RNA leucine (anticodon UAA)
Trnal-caa	transfer RNA leucine (anticodon CAA)
LOC128230451	uncharacterized LOC128230451
LOC128232582	ras-related and estrogen-regulated growth inhibitor-like
LOC128232391	uncharacterized LOC128232391
LOC128232392	C-type lectin domain family 17%2C member A-like
LOC128230955	uncharacterized LOC128230955
LOC128230292	uncharacterized LOC128230292
LOC128232123	uncharacterized LOC128232123
LOC128229841	DNA polymerase delta catalytic subunit-like
LOC128229840	myotubularin-related protein 13-like
LOC128229943	uncharacterized LOC128229943
LOC128230463	uncharacterized LOC128230463
LOC128229607	uncharacterized LOC128229607
LOC128230068	uncharacterized LOC128230068
LOC128230069	uncharacterized LOC128230069
LOC128232295	uncharacterized LOC128232295
LOC128232503	collagen alpha-3(VI) chain-like
LOC128229606	collagen alpha-4(VI) chain-like
LOC128230956	uncharacterized LOC128230956
LOC128230957	collagen alpha-3(VI) chain-like
LOC128231854	sulfotransferase 1A1-like
LOC128231143	uncharacterized LOC128231143
LOC128231141	3-oxoacyl-[acyl-carrier-protein] synthase%2C mitochondrial-like
LOC128231142	WD repeat-containing protein 5B-like
LOC128230034	sulfotransferase 1C2-like
LOC128230960	uncharacterized LOC128230960
LOC128232386	PI-PLC X domain-containing protein 3-like
LOC128230353	prolyl 4-hydroxylase subunit alpha-2-like
LOC128232766	prolyl 4-hydroxylase subunit alpha-2-like
LOC128229738	uncharacterized LOC128229738
LOC128230202	uncharacterized LOC128230202
LOC128230961	uncharacterized LOC128230961
LOC128232363	prolyl 4-hydroxylase subunit alpha-2-like
LOC128232364	ileal sodium/bile acid cotransporter-like
LOC128230962	uncharacterized LOC128230962
LOC128231591	coronin-1C-A-like
LOC128230963	uncharacterized LOC128230963
LOC128231593	ras-related protein Rab-34-like
LOC128231594	60S ribosomal protein L23a-like
LOC128231592	uncharacterized LOC128231592
LOC128230144	DNA-directed RNA polymerase I subunit RPA43-like
LOC128229805	60S ribosomal protein L15-like
LOC128232087	uncharacterized LOC128232087
LOC128232088	uncharacterized LOC128232088
LOC128231177	proton-coupled zinc antiporter SLC30A1-like
LOC128231178	uncharacterized LOC128231178
LOC128232117	titin homolog
LOC128232118	NADPH--cytochrome P450 reductase-like
LOC128231991	T-complex protein 1 subunit zeta-like
LOC128231642	squamous cell carcinoma antigen recognized by T-cells 3-like
LOC128231643	probable serine/threonine-protein kinase ndrC
LOC128229929	corrinoid adenosyltransferase MMAB-like
LOC128229927	mevalonate kinase-like
LOC128229993	cytochrome P450 4B1-like
LOC128230964	uncharacterized LOC128230964
LOC128230965	uncharacterized LOC128230965
LOC128230966	coiled-coil domain-containing protein 63-like
LOC128233099	homeobox protein ceh-10-like
LOC128230149	protein PIF-like
Trnap-cgg	transfer RNA proline (anticodon CGG)
Trnap-agg	transfer RNA proline (anticodon AGG)
Trnap-ugg	transfer RNA proline (anticodon UGG)
Trnap-cgg	transfer RNA proline (anticodon CGG)
Trnap-ugg	transfer RNA proline (anticodon UGG)
Trnap-cgg	transfer RNA proline (anticodon CGG)
Trnap-agg	transfer RNA proline (anticodon AGG)
Trnap-ugg	transfer RNA proline (anticodon UGG)
Trnap-ugg	transfer RNA proline (anticodon UGG)
Trnap-cgg	transfer RNA proline (anticodon CGG)
Trnap-agg	transfer RNA proline (anticodon AGG)
Trnap-cgg	transfer RNA proline (anticodon CGG)
Trnap-ugg	transfer RNA proline (anticodon UGG)
Trnap-cgg	transfer RNA proline (anticodon CGG)
Trnap-cgg	transfer RNA proline (anticodon CGG)
Trnap-ugg	transfer RNA proline (anticodon UGG)
Trnap-cgg	transfer RNA proline (anticodon CGG)
Trnap-cgg	transfer RNA proline (anticodon CGG)
Trnap-ugg	transfer RNA proline (anticodon UGG)
Trnap-cgg	transfer RNA proline (anticodon CGG)
Trnap-cgg	transfer RNA proline (anticodon CGG)
Trnap-ugg	transfer RNA proline (anticodon UGG)
Trnap-agg	transfer RNA proline (anticodon AGG)
Trnap-ugg	transfer RNA proline (anticodon UGG)
Trnap-agg	transfer RNA proline (anticodon AGG)
Trnap-ugg	transfer RNA proline (anticodon UGG)
Trnap-agg	transfer RNA proline (anticodon AGG)
Trnap-ugg	transfer RNA proline (anticodon UGG)
Trnap-agg	transfer RNA proline (anticodon AGG)
Trnap-cgg	transfer RNA proline (anticodon CGG)
Trnap-ugg	transfer RNA proline (anticodon UGG)
Trnap-ugg	transfer RNA proline (anticodon UGG)
LOC128232455	hemoglobin-2-like
LOC128232454	thyroid adenoma-associated protein homolog
LOC128231967	gamma-tubulin complex component 3 homolog
LOC128231968	2'-deoxynucleoside 5'-phosphate N-hydrolase 1-like
Trnar-gcg	transfer RNA arginine (anticodon GCG)
LOC128230215	uncharacterized LOC128230215
LOC128230234	ubiquitin-associated domain-containing protein 2-like
LOC128230314	uncharacterized LOC128230314
LOC128232068	uncharacterized LOC128232068
LOC128230141	uncharacterized LOC128230141
LOC128230142	uncharacterized LOC128230142
LOC128230967	uncharacterized LOC128230967
LOC128231730	cohesin subunit SA-2-like
LOC128232600	uncharacterized LOC128232600
LOC128232354	integrator complex subunit 6-like
LOC128231855	peptide methionine sulfoxide reductase MsrA-like
LOC128231922	glypican-5-like
LOC128231512	solute carrier family 23 member 1-like
LOC128229647	solute carrier family 23 member 1-like
LOC128230968	uncharacterized LOC128230968
LOC128232111	uncharacterized LOC128232111
LOC128229864	uncharacterized LOC128229864
LOC128230084	zinc finger protein 26-like
LOC128230969	acetylcholine receptor subunit alpha-1-A-like
LOC128232416	actin-3-like
LOC128232415	BTB/POZ domain-containing protein 2-like
LOC128232414	BTB/POZ domain-containing protein 2-like
LOC128232368	BTB/POZ domain-containing protein 2-like
LOC128232817	60S ribosomal protein L8-like
LOC128233115	small nucleolar RNA SNORD37
LOC128231496	UDP-glucuronic acid decarboxylase 1-like
LOC128232310	carbohydrate sulfotransferase 15-like
LOC128229941	uncharacterized LOC128229941
LOC128230971	uncharacterized LOC128230971
LOC128230972	uncharacterized LOC128230972
LOC128230973	fibropellin-1-like
LOC128232129	perlucin-like protein
LOC128232411	uncharacterized LOC128232411
LOC128230435	perlucin-like protein
LOC128230974	carbohydrate sulfotransferase 15-like
LOC128232390	uncharacterized LOC128232390
LOC128232588	uncharacterized LOC128232588
LOC128229863	uncharacterized LOC128229863
LOC128230067	uncharacterized LOC128230067
LOC128231341	lysine-specific demethylase 6A-like
LOC128232035	dynein assembly factor with WDR repeat domains 1-like
LOC128231613	protein Mo25-like
LOC128230976	uncharacterized LOC128230976
LOC128230376	cysteine-rich motor neuron 1 protein-like
LOC128232492	sodium-dependent multivitamin transporter-like
LOC128230977	thyroid adenoma-associated protein homolog
LOC128231785	putative amine oxidase [copper-containing]
LOC128231786	cytochrome P450 2J4-like
LOC128231784	protocadherin Fat 4-like
LOC128232442	tectonic-like complex member MKS1
LOC128232443	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1-like
LOC128231781	uncharacterized LOC128231781
LOC128232071	mitochondrial import inner membrane translocase subunit Tim22-like
LOC128231969	ankyrin-1-like
LOC128232201	39S ribosomal protein L44%2C mitochondrial-like
LOC128232202	uncharacterized LOC128232202
LOC128231917	peptidyl-tRNA hydrolase 2%2C mitochondrial-like
LOC128232822	phytanoyl-CoA dioxygenase domain-containing protein 1 homolog
LOC128230187	cytochrome P450 4F2-like
LOC128230185	membrane-associated protein Hem-like
LOC128231920	nuclear receptor ROR-gamma-like
LOC128230978	putative ammonium transporter 1
LOC128230979	putative ammonium transporter 1
LOC128232145	lysozyme-like
LOC128230338	myosin-9-like
LOC128230391	uncharacterized LOC128230391
LOC128230134	uncharacterized LOC128230134
LOC128232070	myosin-9-like
LOC128230980	loricrin-like
LOC128230981	putative uncharacterized protein DDB_G0287183
LOC128232561	tektin-3-like
LOC128229793	uncharacterized LOC128229793
LOC128230982	uncharacterized LOC128230982
LOC128232548	tektin-3-like
LOC128229812	uncharacterized LOC128229812
LOC128231830	uncharacterized LOC128231830
LOC128232915	2-hydroxyacyl-CoA lyase 2-like
LOC128232452	orexin receptor type 2-like
LOC128230277	orexin receptor type 2-like
LOC128230278	uncharacterized LOC128230278
LOC128232610	orexin receptor type 2-like
LOC128230189	orexin receptor type 2-like
LOC128230984	uncharacterized LOC128230984
LOC128231260	adapter molecule Crk-like
LOC128231583	sorting nexin-14-like
LOC128232485	60S ribosomal protein L27a-like
LOC128231196	DENN domain-containing protein 2B-like
LOC128233164	U1 spliceosomal RNA
LOC128230418	uncharacterized LOC128230418
LOC128232677	uncharacterized LOC128232677
LOC128231219	splicing regulator ARVCF-like
LOC128231689	di-N-acetylchitobiase-like
LOC128229830	hsp70-binding protein 1-like
LOC128231680	serine/arginine-rich splicing factor 3-like
LOC128231843	protein AATF-like
LOC128232724	PHD finger protein 23-like
LOC128232605	uncharacterized LOC128232605
LOC128231476	dentin sialophosphoprotein-like
Trnaq-uug	transfer RNA glutamine (anticodon UUG)
LOC128229659	TBCC domain-containing protein 1-like
LOC128229899	endoplasmic reticulum resident protein 29-like
Trnaw-cca	transfer RNA tryptophan (anticodon CCA)
LOC128230986	TNF receptor-associated factor 4-like
LOC128231793	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3-like
LOC128232376	tryptase beta-2-like
LOC128233089	uncharacterized LOC128233089
LOC128232848	monocarboxylate transporter 14-like
LOC128232592	alpha-1%2C3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C-like
LOC128231393	vesicle transport protein GOT1B-like
LOC128231392	uncharacterized LOC128231392
LOC128230987	uncharacterized LOC128230987
LOC128232405	signal peptide%2C CUB and EGF-like domain-containing protein 1
LOC128231932	FMRFamide-related neuropeptides-like
LOC128232869	chromodomain-helicase-DNA-binding protein 1-like
LOC128232153	CCR4-NOT transcription complex subunit 11-like
LOC128232829	serine-aspartate repeat-containing protein F-like
LOC128231454	lactadherin-like
LOC128230988	complement C1q-like protein 3
LOC128232344	putative threonine dehydratase
LOC128230989	uncharacterized LOC128230989
LOC128232343	uncharacterized LOC128232343
LOC128230025	uncharacterized LOC128230025
LOC128230990	ring-infected erythrocyte surface antigen-like
LOC128230027	proline-serine-threonine phosphatase-interacting protein 1-like
LOC128230026	RING finger protein 10-like
LOC128229960	protein ANKUB1-like
LOC128230991	cell surface glycoprotein 1-like
LOC128231588	histone-lysine N-methyltransferase SETD1A-like
LOC128231603	uncharacterized LOC128231603
LOC128231261	carbohydrate-responsive element-binding protein-like
LOC128231325	uncharacterized LOC128231325
LOC128230992	metabotropic glutamate receptor 3-like
LOC128231322	uncharacterized LOC128231322
LOC128231846	metabotropic glutamate receptor 2-like
LOC128232702	uncharacterized LOC128232702
LOC128230993	histone-lysine N-methyltransferase%2C H3 lysine-79 specific-like
LOC128229991	ribosome maturation protein SBDS-like
LOC128231194	phosphatidylinositol 4%2C5-bisphosphate 5-phosphatase A-like
LOC128231195	uncharacterized LOC128231195
LOC128230060	uncharacterized LOC128230060
LOC128229961	uncharacterized LOC128229961
LOC128232229	uncharacterized LOC128232229
LOC128232586	neuronal acetylcholine receptor subunit alpha-2-like
LOC128232905	uncharacterized LOC128232905
LOC128230994	uncharacterized LOC128230994
LOC128232315	uncharacterized LOC128232315
LOC128232402	uncharacterized LOC128232402
LOC128230125	coiled-coil domain-containing protein 92-like
LOC128232379	E3 ubiquitin-protein ligase DTX1-like
LOC128231562	RING-type E3 ubiquitin-protein ligase PPIL2-like
LOC128231563	ribosomal protein S6 kinase-related protein-like
LOC128230996	paramyosin-like
LOC128230997	paramyosin-like
LOC128230998	serine-rich adhesin for platelets-like
LOC128230999	mucin-2-like
LOC128231000	uncharacterized protein DDB_G0271670-like
LOC128231001	mucin-2-like
LOC128232008	notchless protein homolog 1-like
LOC128232156	poly(A)-specific ribonuclease PNLDC1-like
LOC128230284	tectonic-2-like
LOC128232022	vacuole membrane protein 1-like
LOC128232419	sodium- and chloride-dependent glycine transporter 2-like
LOC128232696	sodium- and chloride-dependent neutral and basic amino acid transporter B(0+)-like
LOC128232163	sodium- and chloride-dependent neutral and basic amino acid transporter B(0+)-like
LOC128232301	MORN repeat-containing protein 3-like
LOC128233078	uncharacterized LOC128233078
LOC128233052	serine protease inhibitor dipetalogastin-like
LOC128233051	acetoacetyl-CoA synthetase-like
LOC128232242	uncharacterized LOC128232242
LOC128232609	homeobox protein DBX1-B-like
LOC128232330	very-long-chain 3-oxoacyl-CoA reductase-like
LOC128232519	zinc finger protein 76-like
LOC128231984	serine racemase-like
LOC128231002	transcription elongation factor SPT6-like
LOC128230560	uncharacterized LOC128230560
LOC128230565	uncharacterized LOC128230565
LOC128230564	uncharacterized LOC128230564
LOC128230562	uncharacterized LOC128230562
LOC128230563	uncharacterized LOC128230563
LOC128232254	uncharacterized LOC128232254
LOC128230135	coiled-coil domain-containing protein 92-like
LOC128232802	E3 ubiquitin-protein ligase DTX1-like
LOC128231435	RING-type E3 ubiquitin-protein ligase PPIL2-like
LOC128231436	ribosomal protein S6 kinase-related protein-like
LOC128231003	serine-rich adhesin for platelets-like
